Mattia Perin,33,GK,Juventus,0,0,0,300,83.0,1,5,6.9,18,3,6
Bremer,27,DEF,Juventus,3,1,10,1800,90.5,65,28,7.4,0,0,26
Federico Gatti,26,DEF,Juventus,4,1,12,1600,88.9,70,32,7.3,0,0,30
Danilo,33,DEF,Juventus,2,2,8,1700,89.2,68,30,7.2,0,0,28
Andrea Cambiaso,25,DEF,Juventus,2,3,10,1550,85.0,55,33,7.2,0,0,31
Alex Sandro,34,DEF,Juventus,1,2,6,1400,84.0,60,27,7.0,0,0,29
Manuel Locatelli,27,MID,Juventus,2,2,9,2100,89.5,72,36,7.4,0,0,0
Weston McKennie,26,MID,Juventus,2,4,11,1800,86.0,65,32,7.3,0,0,0
Adrien Rabiot,30,MID,Juventus,5,3,14,1700,85.2,60,31,7.5,0,0,0
Fabio Miretti,21,MID,Juventus,1,2,7,1200,84.0,45,28,7.1,0,0,0
Dusan Vlahovic,25,FWD,Juventus,16,4,42,600,75.0,12,31,7.5,0,0,0
Federico Chiesa,27,FWD,Juventus,9,5,30,700,78.0,18,29,7.4,0,0,0
Kenan Yildiz,19,FWD,Juventus,7,4,22,650,79.0,20,30,7.3,0,0,0
Moise Kean,25,FWD,Juventus,8,2,24,500,74.5,15,28,7.1,0,0,0
Mile Svilar,25,GK,Roma,0,0,0,1200,85.0,4,33,7.3,105,13,35
Rui Patricio,37,GK,Roma,0,0,0,400,82.0,2,10,6.8,30,2,15
Gianluca Mancini,29,DEF,Roma,3,1,7,1600,87.0,65,32,7.3,0,0,35
Chris Smalling,35,DEF,Roma,1,0,3,900,85.5,40,12,7.0,0,0,18
Diego Llorente,31,DEF,Roma,1,1,4,1400,86.0,55,28,7.2,0,0,32
Rick Karsdorp,30,DEF,Roma,0,2,6,1200,83.0,50,25,7.1,0,0,30
Leonardo Spinazzola,32,DEF,Roma,1,3,10,1300,82.5,48,26,7.2,0,0,30
Bryan Cristante,30,MID,Roma,3,3,12,1900,88.0,70,33,7.4,0,0,0
Lorenzo Pellegrini,28,MID,Roma,8,4,22,1500,85.5,45,29,7.5,0,0,0
Leandro Paredes,31,MID,Roma,3,2,8,1800,89.0,60,30,7.3,0,0,0
Edoardo Bove,23,MID,Roma,3,2,9,1400,84.0,55,27,7.2,0,0,0
Paulo Dybala,31,FWD,Roma,13,9,40,1000,83.0,18,29,7.8,0,0,0
Romelu Lukaku,31,FWD,Roma,13,10,38,850,78.5,12,32,7.6,0,0,0
Stephan El Shaarawy,32,FWD,Roma,5,4,18,700,80.0,20,28,7.2,0,0,0
Andrea Belotti,31,FWD,Roma,6,2,15,600,77.0,15,26,7.1,0,0,0
Mike Maignan,30,GK,Milan,0,0,0,1180,86.2,3,32,7.3,95,13,36
Marco Sportiello,33,GK,Milan,0,0,0,240,83.5,1,6,6.8,20,1,9
Theo Hernandez,27,DEF,Milan,5,6,25,1700,84.5,60,31,7.5,0,0,36
Fikayo Tomori,27,DEF,Milan,2,1,6,1500,87.0,58,28,7.2,0,0,34
Malick Thiaw,23,DEF,Milan,1,0,5,1300,85.5,50,22,7.0,0,0,30
Davide Calabria,28,DEF,Milan,2,2,8,1400,86.8,52,26,7.1,0,0,32
Pierre Kalulu,25,DEF,Milan,1,1,4,1200,85.0,45,20,7.0,0,0,28
Ruben Loftus-Cheek,29,MID,Milan,8,2,20,1300,82.0,40,29,7.3,0,0,0
Tijjani Reijnders,26,MID,Milan,8,4,28,1850,86.7,48,33,7.5,0,0,0
Ismael Bennacer,27,MID,Milan,1,2,9,1500,88.0,55,18,7.2,0,0,0
Yacine Adli,25,MID,Milan,1,2,7,1200,87.5,38,20,7.0,0,0,0
Rafael Leao,25,FWD,Milan,9,8,35,900,80.0,20,32,7.6,0,0,0
Christian Pulisic,27,FWD,Milan,12,8,38,1000,82.0,22,33,7.7,0,0,0
Olivier Giroud,38,FWD,Milan,13,6,34,600,78.5,10,31,7.5,0,0,0
Samuel Chukwueze,26,FWD,Milan,3,2,12,500,79.0,15,24,7.1,0,0,0
Noah Okafor,25,FWD,Milan,6,2,18,650,78.8,18,28,7.2,0,0,0
Yann Sommer,36,GK,Inter,0,0,0,1240,87.5,5,33,7.4,92,16,22
Emil Audero,28,GK,Inter,0,0,0,210,84.0,1,5,6.9,18,2,5
Benjamin Pavard,29,DEF,Inter,1,2,6,1850,90.1,48,25,7.2,0,0,18
Stefan de Vrij,33,DEF,Inter,2,1,7,1720,89.3,52,27,7.1,0,0,20
Francesco Acerbi,37,DEF,Inter,1,0,4,1600,88.0,45,24,7.0,0,0,18
Alessandro Bastoni,26,DEF,Inter,1,4,8,2100,91.2,50,30,7.4,0,0,22
Federico Dimarco,27,DEF,Inter,5,8,20,1580,84.5,42,30,7.6,0,0,22
Carlos Augusto,26,DEF,Inter,2,3,11,1400,83.0,44,28,7.2,0,0,24
Matteo Darmian,35,DEF,Inter,2,2,9,1500,86.0,40,29,7.1,0,0,23
Hakan Calhanoglu,31,MID,Inter,13,3,26,2000,89.5,38,31,7.7,0,0,0
Nicolo Barella,28,MID,Inter,2,6,15,2200,88.3,62,32,7.6,0,0,0
Henrikh Mkhitaryan,36,MID,Inter,3,4,11,1950,87.0,55,30,7.4,0,0,0
Davide Frattesi,25,MID,Inter,6,2,14,900,82.5,30,28,7.2,0,0,0
Kristjan Asllani,23,MID,Inter,1,1,6,1100,85.0,35,20,7.0,0,0,0
Denzel Dumfries,29,MID,Inter,4,5,18,1200,80.2,47,29,7.3,0,0,0
Lautaro Martinez,27,FWD,Inter,24,3,60,700,78.0,12,33,7.9,0,0,0
Marcus Thuram,27,FWD,Inter,13,7,34,680,76.5,14,32,7.6,0,0,0
Marko Arnautovic,35,FWD,Inter,5,1,16,400,75.0,8,22,7.1,0,0,0
Alexis Sanchez,36,FWD,Inter,3,2,10,350,77.2,10,18,7.0,0,0,0
Alex Meret,27,GK,Napoli,0,0,0,1100,85.0,3,31,7.1,80,12,34
Pierluigi Gollini,30,GK,Napoli,0,0,0,250,82.5,1,6,6.8,20,2,10
Giovanni Di Lorenzo,31,DEF,Napoli,2,4,12,1900,88.5,70,33,7.3,0,0,34
